survey,element,median_measured,detection_limit,noise_s,signal_to_noise,uncertainty_that_drops_it,limit_known,retained
NASGL,Te,0.1,0.1,0.0333,3.0,0.1667,True,True
NASGL,Tl,0.4,0.1,0.0333,12.0,0.7667,True,True
NGSA,Al,42685.5,26.0,8.6667,4925.25,85362.3333,True,True
NGSA,Fe,16400.0,100.0,33.3333,492.0,32766.6667,True,True
NGSA,Ca,3173.0,14.0,4.6667,679.9286,6341.3333,True,True
NGSA,Mg,3093.0,60.0,20.0,154.65,6166.0,True,True
NGSA,Na,2448.5,74.0,24.6667,99.2635,4872.3333,True,True
NGSA,K,9924.0,42.0,14.0,708.8571,19834.0,True,True
NGSA,Ti,3509.0,30.0,10.0,350.9,7008.0,True,True
NGSA,Mn,360.0,39.0,13.0,27.6923,707.0,True,True
NGSA,P,266.0,22.0,7.3333,36.2727,524.6667,True,True
NGSA,Li,5.6,0.1,0.0333,168.0,11.1667,True,True
NGSA,Be,1.7,1.1,0.3667,4.6364,3.0333,True,True
NGSA,Rb,51.7,0.2,0.0667,775.5,103.3333,True,True
NGSA,Cs,2.3,0.1,0.0333,69.0,4.5667,True,True
NGSA,Sr,68.3,0.2,0.0667,1024.5,136.5333,True,True
NGSA,Ba,315.1,0.5,0.1667,1890.6,630.0333,True,True
NGSA,Sc,7.6,0.3,0.1,76.0,15.1,True,True
NGSA,Y,21.1,0.05,0.0167,1266.0,42.1833,True,True
NGSA,La,20.915,0.1,0.0333,627.45,41.7967,True,True
NGSA,Ce,42.105,0.03,0.01,4210.5,84.2,True,True
NGSA,Nb,8.5,0.03,0.01,850.0,16.99,True,True
NGSA,Th,7.9,0.02,0.0067,1185.0,15.7933,True,True
NGSA,U,1.735,0.02,0.0067,260.25,3.4633,True,True
NGSA,Ga,10.0,0.1,0.0333,300.0,19.9667,True,True
NGSA,V,54.7,0.1,0.0333,1641.0,109.3667,True,True
NGSA,Cr,48.05,0.5,0.1667,288.3,95.9333,True,True
NGSA,Co,8.3,0.1,0.0333,249.0,16.5667,True,True
NGSA,Ni,15.3,0.5,0.1667,91.8,30.4333,True,True
NGSA,Cu,13.7,0.2,0.0667,205.5,27.3333,True,True
NGSA,Zn,31.9,0.9,0.3,106.3333,63.5,True,True
NGSA,Mo,0.6,0.3,0.1,6.0,1.1,True,True
NGSA,W,1.0,0.1,0.0333,30.0,1.9667,True,True
NGSA,Ag,0.64,0.03,0.01,64.0,1.27,True,True
NGSA,As,3.2,0.4,0.1333,24.0,6.2667,True,True
NGSA,Bi,0.185,0.02,0.0067,27.75,0.3633,True,True
NGSA,Cd,0.17,0.1,0.0333,5.1,0.3067,True,True
NGSA,Hg,0.02,0.01,0.0033,6.0,0.0367,True,True
NGSA,In,0.03,0.02,0.0067,4.5,0.0533,True,True
NGSA,Pb,12.865,0.1,0.0333,385.95,25.6967,True,True
NGSA,S,149.5,10.0,3.3333,44.85,295.6667,True,True
NGSA,Sb,1.2,0.4,0.1333,9.0,2.2667,True,True
NGSA,Se,0.06,0.01,0.0033,18.0,0.1167,True,True
NGSA,Sn,1.3,0.2,0.0667,19.5,2.5333,True,True
NGSA,Te,0.04,0.02,0.0067,6.0,0.0733,True,True
NGSA,Tl,0.09,0.02,0.0067,13.5,0.1733,True,True
GEMAS,Al,10992.749,,,inf,,False,True
GEMAS,Fe,17199.7711,,,inf,,False,True
GEMAS,Ca,3034.6095,,,inf,,False,True
GEMAS,Mg,2860.3668,,,inf,,False,True
GEMAS,Na,48.0278,,,inf,,False,True
GEMAS,K,1249.7686,,,inf,,False,True
GEMAS,Ti,85.6994,,,inf,,False,True
GEMAS,Mn,444.8679,,,inf,,False,True
GEMAS,P,652.8483,,,inf,,False,True
GEMAS,Li,11.3684,,,inf,,False,True
GEMAS,Be,0.5311,0.05,0.0167,31.8661,1.0455,True,True
GEMAS,Rb,14.3255,,,inf,,False,True
GEMAS,Cs,1.0792,,,inf,,False,True
GEMAS,Sr,18.0965,,,inf,,False,True
GEMAS,Ba,61.6822,,,inf,,False,True
GEMAS,Sc,2.1511,,,inf,,False,True
GEMAS,Y,6.6878,,,inf,,False,True
GEMAS,La,14.3485,,,inf,,False,True
GEMAS,Ce,28.3759,,,inf,,False,True
GEMAS,Nb,0.4757,,,inf,,False,True
GEMAS,Th,2.8894,,,inf,,False,True
GEMAS,U,0.7682,,,inf,,False,True
GEMAS,Ga,3.4262,,,inf,,False,True
GEMAS,V,25.3538,,,inf,,False,True
GEMAS,Cr,20.1965,,,inf,,False,True
GEMAS,Co,7.4574,,,inf,,False,True
GEMAS,Ni,14.7203,,,inf,,False,True
GEMAS,Cu,14.5025,,,inf,,False,True
GEMAS,Zn,45.055,,,inf,,False,True
GEMAS,Mo,0.4163,,,inf,,False,True
GEMAS,W,0.0734,0.01,0.0033,22.0102,0.1434,True,True
GEMAS,Ag,0.0376,,,inf,,False,True
GEMAS,As,5.478,,,inf,,False,True
GEMAS,Bi,0.1643,,,inf,,False,True
GEMAS,Cd,0.181,,,inf,,False,True
GEMAS,Hg,0.03,,,inf,,False,True
GEMAS,In,0.0182,0.003,0.001,18.2026,0.0354,True,True
GEMAS,Pb,15.8125,,,inf,,False,True
GEMAS,S,209.0986,5.0,1.6667,125.4591,416.5305,True,True
GEMAS,Sb,0.2336,,,inf,,False,True
GEMAS,Se,0.3588,0.05,0.0167,21.5299,0.701,True,True
GEMAS,Sn,0.7227,,,inf,,False,True
GEMAS,Te,0.039,0.02,0.0067,5.8506,0.0713,True,True
GEMAS,Tl,0.1161,,,inf,,False,True
